name,gender,score,Right_Name,Right_Gender,Frequency,Include?,probability
Loveda,F,1,Loveda,F,,,1
Loveday,F,0,,,,,
Loveey,F,0,,,,,
Lovejoy,M,1,,,,,
Lovel,M,0,Lovel,M,,,0.9320388349514563
Lovelace,M,1,Lovelace,M,,,1
Lovelee,F,1,Lovelee,F,,,1
Loveleen,F,1,Loveleen,F,,,1
Loveless,M,1,Loveless,M,,,1
Lovelia,F,1,Lovelia,F,,,1
Lovell,M,0,Lovell,M,14,No,0.839968774395004
Lovella,F,1,Lovella,F,16,No,1
Lovelle,F,0.605263158,Lovelle,F,7,No,0.6052631578947368
Lovely,F,0.992380952,Lovely,F,68,Yes,0.9923809523809524
Lovelyn,F,1,Lovelyn,F,18,No,1
Lovelynn,F,1,Lovelynn,F,8,No,1
Lovena,F,1,Lovena,F,,,1
Lovene,F,1,Lovene,F,,,1
Lovenia,F,1,Lovenia,F,,,1
Lovepreet,M,1,,,,,
Lovera,F,1,Lovera,F,,,1
Lovern,M,0.523809524,Lovern,M,,,0.5238095238095238
Loverne,M,0.666666667,Loverne,M,,,0.6666666666666666
Lovesta,F,1,Lovesta,F,,,1
Loveta,F,1,Loveta,F,,,1
Lovett,M,1,Lovett,M,,,1
Lovetta,F,1,Lovetta,F,,,1
Lovette,F,0.976359338,Lovette,F,7,No,0.9763593380614657
Lovey,F,1,Lovey,F,,,1
Loveya,F,1,Loveya,F,,,1
Lovi,F,1,Lovi,F,,,1
Lovia,F,1,Lovia,F,,,1
Loviatar,F,0,,,,,
Lovic,M,1,Lovic,M,,,1
Lovice,F,1,Lovice,F,,,1
Lovick,M,1,Lovick,M,,,1
Lovie,F,0.90136857,Lovie,F,17,No,0.9013685700802265
Loviisa,F,0,,,,,
Loviise,F,0,,,,,
Lovilla,F,1,Lovilla,F,,,1
Lovina,F,1,Lovina,F,28,No,1
Lovine,F,1,Lovine,F,,,1
Lovinia,F,1,Lovinia,F,,,1
Lovis,M,0.723404255,Lovis,M,,,0.723404255319149
Lovisa,F,0,Lovisa,F,5,No,1
Lovise,F,0,,,,,
Lovita,F,1,Lovita,F,,,1
Lovly,M,0,,,,,
Lovonda,F,1,Lovonda,F,,,1
Lovonia,F,1,Lovonia,F,,,1
Lovonne,F,1,Lovonne,F,,,1
Lovre,M,0,,,,,
Lovrenc,M,0,,,,,
Lovrenco,M,0,,,,,
Lovro,M,0,,,,,
Low,M,1,Low,M,,,1
Lowan,Unisex,0.78125,,,,,
Lowana,F,1,Lowana,F,,,1
Lowanda,F,1,Lowanda,F,,,1
Lowanna,F,1,Lowanna,F,,,1
Lowayne,F,1,Lowayne,F,,,1
Lowe,M,0.888888889,Lowe,M,,,0.8888888888888888
Lowel,M,1,Lowel,M,,,1
Lowell,M,0,Lowell,M,45,No,0.9915962316243249
Lowella,F,1,Lowella,F,,,1
Lowen,F,,,,9,No,
Lowen,M,0.960869565,Lowen,M,18,No,0.9608695652173913
Lowena,F,0,,,,,
Lowene,F,1,Lowene,F,,,1
Lowenna,F,0,,,,,
Lowery,M,1,Lowery,M,,,1
Loweta,F,1,Loweta,F,,,1
Lowie,M,0,,,,,
Lowis,M,1,Lowis,M,,,1
Lowman,M,1,Lowman,M,,,1
Lowrey,M,1,Lowrey,M,,,1
Lowri,F,0,,,,,
Lowrie,M,1,Lowrie,M,,,1
Lowrine,F,1,Lowrine,F,,,1
Lowry,F,,,,5,No,
Lowry,M,0.968287526,Lowry,M,,,0.9682875264270613
Loxi,F,1,Loxi,F,,,1
Loxie,F,1,Loxie,F,,,1
Loxley,F,0.792207792,Loxley,F,20,No,0.7922077922077922
Loxley,M,,,,6,No,
Loy,M,0.82426441,Loy,M,,,0.8242644095122934
Loya,F,1,Loya,F,,,1
Loyal,F,,,,27,No,
Loyal,M,0.960716062,Loyal,M,69,Yes,0.9607160616608652
Loyall,M,1,Loyall,M,,,1
Loyaltee,F,1,Loyaltee,F,5,No,1
Loyalti,F,1,Loyalti,F,7,No,1
Loyalty,F,0.781316348,Loyalty,F,97,Yes,0.7813163481953291
Loyalty,M,,,,17,No,
Loyce,F,0.81884058,Loyce,F,,,0.8188405797101449
Loycie,F,1,Loycie,F,,,1
Loyd,M,0,Loyd,M,6,No,0.9961713115483929
Loyda,F,1,Loyda,F,,,1
Loyde,M,1,Loyde,M,,,1
Loydene,F,1,Loydene,F,,,1
Loye,M,0.721417069,Loye,M,,,0.7214170692431562
Loyed,M,1,Loyed,M,,,1
Loyette,F,1,Loyette,F,,,1
Loyle,M,1,Loyle,M,,,1
Loyola,F,1,Loyola,F,,,1
Loys,M,0.581325301,Loys,M,,,0.5813253012048193
Loyse,F,1,Loyse,F,,,1
Loza,F,1,Loza,F,9,No,1
Lozell,M,1,Lozell,M,,,1
Lozelle,F,1,Lozelle,F,,,1
Lrey,M,1,Lrey,M,,,1
Lta,F,0,,,,,
Ltanya,F,1,Ltanya,F,,,1
Ltonya,F,1,Ltonya,F,,,1
Ltoya,F,1,Ltoya,F,,,1
Lu,F,0.995496622,Lu,F,,,0.9954966224668501
"Lu'ay",M,1,,,,,
Lua,F,1,Lua,F,24,No,1
Luada,F,1,Luada,F,,,1
Luai,M,1,Luai,M,,,1
Lual,M,1,Lual,M,8,No,1
Luan,F,0.551391863,Luan,F,,,0.5513918629550322
Luan,M,,,,19,No,
Luana,F,0,Luana,F,48,No,1
Luanda,F,1,Luanda,F,,,1
Luane,F,1,Luane,F,,,1
Luann,F,0,Luann,F,6,No,0.9996105413475269
Luanna,F,0,Luanna,F,15,No,1
Luanne,F,0,Luanne,F,8,No,1
Luar,M,1,Luar,M,5,No,1
Luara,F,1,Luara,F,,,1
Luay,M,1,Luay,M,9,No,1
Luba,F,0,Luba,F,8,No,1
Lubaabah,F,0,,,,,
Lubaba,F,0,,,,,
Lubabah,F,0,,,,,
Lubbert,M,0,,,,,
Lubby,M,1,Lubby,M,,,1
Lubelihle,F,0,,,,,
Lubell,F,1,Lubell,F,,,1
Luben,M,0,,,,,
Luberdie,F,1,Luberdie,F,,,1
Lubert,M,1,Lubert,M,,,1
Luberta,F,1,Luberta,F,,,1
Lubertha,F,1,Lubertha,F,,,1
Lubie,M,0.772727273,Lubie,M,,,0.7727272727272727
Lubina,F,1,Lubina,F,,,1
Lubna,F,0,Lubna,F,9,No,1
Lubnaa,F,0,,,,,
Lubomierz,M,0,,,,,
Lubomir,M,0,,,,,
Lubos,M,1,,,,,
Lubov,F,1,Lubov,F,,,1
Luby,M,0.848396501,Luby,M,,,0.8483965014577259
Luc,M,0,Luc,M,79,Yes,1
Luca,F,,,,67,Yes,
Luca,M,0,Luca,M,2593,Yes,0.9594354520331623
Luca-james,M,1,,,,,
Lucabella,F,1,Lucabella,F,,,1
Lucah,M,1,Lucah,M,19,No,1
Lucais,M,1,Lucais,M,,,1
Lucan,M,0,Lucan,M,19,No,1
Lucanus,M,0,Lucanus,M,,,1
Lucas,F,,,,16,No,
Lucas,M,0,Lucas,M,12246,Yes,0.9980543294668769
Lucas-jack,M,1,,,,,
Lucas-james,M,1,,,,,
Lucas-jay,M,1,,,,,
Lucas-john,M,1,,,,,
Lucas-lee,M,1,,,,,
Lucas-scott,M,1,,,,,
Lucasta,F,0,,,,,
Lucca,F,,,,48,No,
Lucca,M,0.862192074,Lucca,M,318,Yes,0.8621920742591932
Luccas,M,1,Luccas,M,14,No,1
Lucchese,F,1,Lucchese,F,,,1
Luccia,F,1,Luccia,F,,,1
Lucciana,F,1,Lucciana,F,19,No,1
Lucciano,M,1,Lucciano,M,19,No,1
Luce,F,0,Luce,F,,,1
Lucea,F,1,Lucea,F,,,1
Luceal,F,1,Luceal,F,,,1
Lucecita,F,1,Lucecita,F,,,1
Lucee,F,1,Lucee,F,8,No,1
Luceil,F,1,Luceil,F,,,1
Luceile,F,1,Luceile,F,,,1
Luceille,F,1,Luceille,F,,,1
Lucele,F,1,Lucele,F,,,1
Lucelenia,F,1,Lucelenia,F,,,1
Luceli,F,1,Luceli,F,,,1
Lucelia,F,1,Lucelia,F,7,No,1
Lucell,F,1,Lucell,F,,,1
Lucella,F,1,Lucella,F,,,1
Lucelle,F,1,Lucelle,F,,,1
Lucely,F,1,Lucely,F,,,1
Lucena,F,1,Lucena,F,,,1
Lucenda,F,1,Lucenda,F,,,1
Lucendia,F,1,Lucendia,F,,,1
Lucene,F,1,Lucene,F,,,1
Lucenia,F,1,Lucenia,F,,,1
Lucerito,F,1,Lucerito,F,,,1
Lucero,F,0.97093731,Lucero,F,114,Yes,0.9709373097991479
Lucertia,F,1,Lucertia,F,,,1
Lucesita,F,1,Lucesita,F,,,1
Lucetta,F,0,Lucetta,F,,,1
Lucette,F,0,Lucette,F,9,No,1
Lucey,F,1,Lucey,F,,,1
Lucha,F,1,Lucha,F,,,1
Luchana,F,1,Luchana,F,,,1
Luchanna,F,1,Luchanna,F,,,1
Luchia,F,1,Luchia,F,,,1
Luchiana,F,1,Luchiana,F,,,1
Luchiano,M,1,Luchiano,M,5,No,1
Luchina,F,1,Luchina,F,,,1
Luchious,M,1,Luchious,M,,,1
Lucho,M,0,,,,,
Luci,F,1,Luci,F,63,Yes,1
Luci-jo,F,0,,,,,
Lucia,F,0,Lucia,F,1440,Yes,0.9976427923844061
Lucia-amber,F,0,,,,,
Lucia-noelia,F,0,,,,,
Lucial,F,0,,,,,
Lucian,M,0,Lucian,M,417,Yes,0.9966126812744787
Luciana,F,0,Luciana,F,677,Yes,1
Luciann,F,1,Luciann,F,,,1
Lucianna,F,1,Lucianna,F,78,Yes,1
Lucianne,F,1,Lucianne,F,5,No,1
Luciano,M,0,Luciano,M,525,Yes,1
Lucianus,M,0,,,,,
Lucias,M,1,Lucias,M,,,1
Lucie,F,0,Lucie,F,158,Yes,1
Lucie-anne,F,0,,,,,
Lucie-jem,F,0,,,,,
Lucie-jo,F,0,,,,,
Lucie-lou,F,0,,,,,
Lucie-luise,F,0,,,,,
Lucie-mae,F,0,,,,,
Lucie-mai,F,0,,,,,
Lucie-may,F,0,,,,,
Lucie-rose,F,0,,,,,
Luciel,F,1,Luciel,F,,,1
Luciele,F,1,Luciele,F,,,1
Luciell,F,1,Luciell,F,,,1
Luciella,F,1,Luciella,F,5,No,1
Lucielle,F,1,Lucielle,F,8,No,1
Lucien,M,0,Lucien,M,161,Yes,0.9993741394417324
Lucienna,F,1,Lucienna,F,,,1
Lucienne,F,0,Lucienne,F,26,No,1
Lucifer,M,0,Lucifer,M,7,No,1
Lucii-jai,F,0,,,,,
Lucija,F,0,Lucija,F,,,1
Lucijan,M,0,,,,,
Lucil,F,1,Lucil,F,,,1
Lucila,F,0,Lucila,F,19,No,1
Lucile,F,0,Lucile,F,37,No,0.9972308757355486
Lucilia,F,0,Lucilia,F,6,No,1
Lucilio,M,0,,,,,
Lucilius,M,0,,,,,
Lucill,F,1,Lucill,F,,,1
Lucilla,F,0,Lucilla,F,14,No,1
Lucille,F,0,Lucille,F,1112,Yes,0.9966170042896385
Lucillia,F,1,Lucillia,F,7,No,1
Lucillie,F,1,Lucillie,F,,,1
Lucina,F,0,Lucina,F,28,No,1
Lucinda,F,0,Lucinda,F,140,Yes,0.9997032720994847
Lucinde,F,0,,,,,
Lucindia,F,1,Lucindia,F,,,1
Lucindy,F,1,Lucindy,F,,,1
Lucine,F,0,Lucine,F,7,No,1
Lucineh,F,0,,,,,
Lucinia,F,1,Lucinia,F,,,1
Lucino,M,1,Lucino,M,,,1
Lucio,M,0,Lucio,M,90,Yes,1
Lucion,M,1,Lucion,M,,,1
Lucious,M,0.9988879,Lucious,M,37,No,0.9988879003558719
Lucita,F,1,Lucita,F,,,1
Lucius,M,0,Lucius,M,136,Yes,1
Lucja,F,0,Lucja,F,,,1
Lucjan,M,0,,,,,
Lucjusz,M,0,,,,,
Luck,M,1,Luck,M,,,1
Luckas,M,1,Luckas,M,6,No,1
Luckey,M,1,Luckey,M,,,1
Lucki,M,0,,,,,
Luckie,M,0.642857143,Luckie,M,,,0.6428571428571429
Lucky,M,,,,43,No,0.8746736292428199
Lucky,Unisex,0,,,,,
Lucrecia,F,1,Lucrecia,F,,,1
Lucresha,F,1,Lucresha,F,,,1
Lucreshia,F,1,Lucreshia,F,,,1
Lucresia,F,1,Lucresia,F,,,1
Lucreta,F,1,Lucreta,F,,,1
Lucretia,F,0,Lucretia,F,,,1
Lucretius,M,0,,,,,
Lucrezia,F,0,Lucrezia,F,14,No,1
Lucricia,F,1,Lucricia,F,,,1
Lucritia,F,1,Lucritia,F,,,1
Lucuis,M,1,Lucuis,M,,,1
Lucus,M,1,Lucus,M,27,No,1
Lucy,F,0,Lucy,F,4512,Yes,0.9967251326294917
Lucy,M,,,,5,No,
Lucy-,F,0,,,,,
Lucy-ann,F,0,,,,,
Lucy-anna,F,0,,,,,
Lucy-anne,F,0,,,,,
Lucy-ellen,F,0,,,,,
Lucy-jane,F,0,,,,,
Lucy-jayne,F,0,,,,,
Lucy-jo,F,0,,,,,
Lucy-jordan,F,0,,,,,
Lucy-lee,F,0,,,,,
Lucy-leigh,F,0,,,,,
Lucy-lou,F,0,,,,,
Lucy-louise,F,0,,,,,
Lucy-mae,F,0,,,,,
Lucy-mai,F,0,,,,,
Lucy-marie,F,0,,,,,
Lucy-may,F,0,,,,,
Lucy-rose,F,0,,,,,
Lucya,F,1,Lucya,F,5,No,1
Lucyana,F,1,Lucyana,F,,,1
Lucyann,F,1,Lucyann,F,7,No,1
Lucyanna,F,1,Lucyanna,F,7,No,1
Lucyanne,F,0,,,,,
Lucye,F,1,Lucye,F,,,1
Lucyle,F,1,Lucyle,F,,,1
Lucylle,F,1,Lucylle,F,,,1
Lucymae,F,1,Lucymae,F,,,1
Lucymarie,F,1,Lucymarie,F,,,1
Lucyna,F,0,Lucyna,F,,,1
Lucynda,F,1,Lucynda,F,,,1
Lucyrose,F,1,Lucyrose,F,,,1
Luda,F,1,Luda,F,,,1
Ludde,M,0,,,,,
Luddie,F,0.897321429,Luddie,F,,,0.8973214285714286
Luddy,M,1,Luddy,M,,,1
Ludean,F,1,Ludean,F,,,1
Ludell,F,1,Ludell,F,,,1
Ludella,F,1,Ludella,F,,,1
Ludelle,F,1,Ludelle,F,,,1
Ludene,F,1,Ludene,F,,,1
Ludger,M,0,Ludger,M,,,1
Ludia,F,1,Ludia,F,,,1
Ludie,F,0.908691241,Ludie,F,,,0.9086912411227596
Ludine,F,1,Ludine,F,,,1
Ludis,M,0,,,,,
Ludivina,F,1,Ludivina,F,,,1
Ludivine,F,0,,,,,
Ludlow,M,1,Ludlow,M,,,1
Ludmila,F,0,Ludmila,F,5,No,1
Ludmilla,F,0,Ludmilla,F,,,1
Ludo,M,0,,,,,
Ludolf,M,0,,,,,
Ludora,F,1,Ludora,F,,,1
Ludovic,M,0,Ludovic,M,7,No,1
Ludovica,F,0,Ludovica,F,5,No,1
Ludovico,M,0,,,,,
Ludovicus,M,0,,,,,
Ludoviko,M,0,,,,,
Ludvig,M,0,Ludvig,M,,,1
Ludvigs,M,0,,,,,
Ludvik,M,0,Ludvik,M,,,1
Ludvina,F,1,Ludvina,F,,,1
Ludwell,M,1,Ludwell,M,,,1
Ludwig,M,0,Ludwig,M,12,No,1
Ludwik,M,0,Ludwik,M,,,1
Ludwika,F,0,Ludwika,F,,,1
Ludwin,M,1,Ludwin,M,9,No,1
Ludwina,F,1,Ludwina,F,,,1
Ludwing,M,1,Ludwing,M,,,1
Ludy,F,0.909871245,Ludy,F,,,0.9098712446351931
Lue,F,0.903797822,Lue,F,,,0.9037978218374756
Lueann,F,1,Lueann,F,,,1
Luease,F,1,Luease,F,,,1
Lueberta,F,1,Lueberta,F,,,1
Luebertha,F,1,Luebertha,F,,,1
Luecile,F,1,Luecile,F,,,1
Luecille,F,1,Luecille,F,,,1
Luecinda,F,1,Luecinda,F,,,1
Luedella,F,1,Luedella,F,,,1
Luedora,F,1,Luedora,F,,,1
Lueella,F,1,Lueella,F,,,1
Luegene,F,0.666666667,Luegene,F,,,0.6666666666666666
Luegenia,F,1,Luegenia,F,,,1
Luel,M,1,Luel,M,,,1
Luell,F,1,Luell,F,,,1
Luella,F,0,Luella,F,176,Yes,0.9994626183918855
Luellar,F,1,Luellar,F,,,1
Luelle,F,1,Luelle,F,,,1
Luellen,F,0.992795389,Luellen,F,,,0.9927953890489913
Lueller,F,1,Lueller,F,,,1
Luena,F,1,Luena,F,,,1
Luereatha,F,1,Luereatha,F,,,1
Luerene,F,1,Luerene,F,,,1
Lueretha,F,1,Lueretha,F,,,1
Lueseal,F,1,Lueseal,F,,,1
Luethel,F,1,Luethel,F,,,1
Luetricia,F,1,Luetricia,F,,,1
Luetta,F,1,Luetta,F,,,1
Lueva,F,1,Lueva,F,,,1
Luevenia,F,1,Luevenia,F,,,1
Luevertha,F,1,Luevertha,F,,,1
Luevina,F,1,Luevina,F,,,1
Luevinia,F,1,Luevinia,F,,,1
Luey,M,1,,,,,
Lug,M,0,,,,,
Lugaid,M,0,,,,,
Lugano,M,1,,,,,
Lugarda,F,1,Lugarda,F,,,1
Lugardita,F,1,Lugardita,F,,,1
Lugene,M,0.528703047,Lugene,M,,,0.5287030474840538
Lugenia,F,1,Lugenia,F,,,1
Lugh,M,0,,,,,
Lughaidh,M,0,,,,,
Lughan,M,1,,,,,
Lugina,F,1,Lugina,F,,,1
Lugman,M,1,Lugman,M,,,1
Lugos,M,0,,,,,
Lugubelenus,M,0,,,,,
Lugus,M,0,,,,,
Lui,M,1,Lui,M,12,No,1
Luian,M,1,Luian,M,14,No,1
Luicana,F,1,Luicana,F,,,1
Luicie,F,0,,,,,
Luida,F,1,Luida,F,,,1
Luie,M,1,Luie,M,,,1
Luiggi,M,1,Luiggi,M,,,1
Luigi,M,0,Luigi,M,41,No,1
Luigia,F,0,,,,,
Luigina,F,0,Luigina,F,,,1
Luigino,M,0,Luigino,M,,,1
Luigsech,F,0,,,,,
Luigy,M,1,Luigy,M,,,1
Luis,M,0,Luis,M,3718,Yes,0.994315884155905
Luisa,F,0,Luisa,F,224,Yes,0.9971878994461014
Luisafernanda,F,1,Luisafernanda,F,,,1
Luisalberto,M,1,Luisalberto,M,,,1
Luisalejandro,M,1,Luisalejandro,M,,,1
Luisalfredo,M,1,Luisalfredo,M,,,1
Luisana,F,1,Luisana,F,10,No,1
Luisandres,M,1,Luisandres,M,,,1
Luisandro,M,1,Luisandro,M,,,1
Luisangel,M,1,Luisangel,M,36,No,1
Luisanna,F,1,Luisanna,F,,,1
Luisantonio,M,1,Luisantonio,M,8,No,1
Luisarmando,M,1,Luisarmando,M,,,1
Luiscarlos,M,1,Luiscarlos,M,,,1
Luisdaniel,M,1,Luisdaniel,M,,,1
Luisdavid,M,1,Luisdavid,M,,,1
Luisdiego,M,1,Luisdiego,M,,,1
Luise,F,0,Luise,F,,,0.9912434325744308
Luiseduardo,M,1,Luiseduardo,M,,,1
Luisella,F,0,,,,,
Luisenrique,M,1,Luisenrique,M,13,No,1
Luisfelipe,M,1,Luisfelipe,M,,,1
Luisfernando,M,1,Luisfernando,M,8,No,1
Luisgabriel,M,1,Luisgabriel,M,,,1
Luisgerardo,M,1,Luisgerardo,M,,,1
Luisgustavo,M,1,Luisgustavo,M,,,1
Luisiana,F,1,Luisiana,F,,,1
Luisina,F,0,,,,,
Luisinho,M,0,,,,,
Luisita,F,0,Luisita,F,,,1
Luisito,M,1,Luisito,M,,,1
Luisjavier,M,1,Luisjavier,M,,,1
Luisjose,M,1,Luisjose,M,,,1
Luismanuel,M,1,Luismanuel,M,6,No,1
Luismario,M,1,Luismario,M,,,1
Luismiguel,M,1,Luismiguel,M,,,1
Luispablo,M,1,Luispablo,M,,,1
Luitgard,F,0,,,,,
Luitger,M,0,,,,,
Luitpold,M,0,,,,,
Luiz,M,0,Luiz,M,41,No,1
Luiza,F,0,Luiza,F,40,No,1
Luize,F,0,,,,,
Lujack,M,1,Lujack,M,,,1
Lujain,F,1,Lujain,F,30,No,1
Lujaine,F,0,,,,,
Lujane,F,1,Lujane,F,6,No,1
Lujayn,F,0,Lujayn,F,6,No,1
Lujean,F,1,Lujean,F,,,1
Lujuan,F,1,Lujuan,F,,,1
Lujuana,F,1,Lujuana,F,,,1
Lujza,F,0,,,,,
Luk,M,1,Luk,M,,,1
Luka,F,,,,33,No,
Luka,M,0,Luka,M,545,Yes,0.9400356224025331
Lukacs,M,1,Lukacs,M,,,1
Lukah,M,1,Lukah,M,39,No,1
Lukan,M,1,Lukan,M,,,1
Lukas,M,0,Lukas,M,1425,Yes,0.9993286930714058
Lukash,M,1,,,,,
Lukasz,M,1,Lukasz,M,20,No,1
Lukaus,M,1,Lukaus,M,,,1
Luke,F,,,,8,No,
Luke,M,0,Luke,M,10219,Yes,0.997969664397468
Lukeanthony,M,1,Lukeanthony,M,,,1
Luken,M,0,Luken,M,18,No,1
Lukes,M,1,Lukes,M,,,1
Lukesha,F,1,Lukesha,F,,,1
Lukeshia,F,1,Lukeshia,F,,,1
Lukeus,M,1,Lukeus,M,,,1
Lukian,M,1,Lukian,M,,,1
Lukin,M,1,Lukin,M,,,1
Lukis,M,1,Lukis,M,9,No,1
Lukisha,F,1,Lukisha,F,,,1
Lukka,M,1,Lukka,M,11,No,1
Lukkad,M,0,,,,,
Lukkas,M,1,Lukkas,M,,,1
Lukmaan,M,1,,,,,
Lukman,M,1,Lukman,M,,,1
Lukne,F,0,,,,,
Lukrecija,F,0,,,,,
Luksa,F,0,,,,,
Lukus,M,1,Lukus,M,21,No,1
Lukyan,M,1,Lukyan,M,,,1
Lul,F,1,Lul,F,5,No,1
Lula,F,0,Lula,F,99,Yes,0.9959268249363566
Lula-belle,F,0,,,,,
Lulabell,F,1,Lulabell,F,,,1
Lulabelle,F,1,Lulabelle,F,,,1
Lulah,F,1,Lulah,F,,,1
Lulamae,F,1,Lulamae,F,,,1
Lulani,F,1,Lulani,F,5,No,1
Lular,F,1,Lular,F,,,1
Lule,F,0,,,,,
Luler,F,1,Luler,F,,,1
Luley,F,1,Luley,F,,,1
Lulia,F,1,Lulia,F,,,1
Lulie,F,1,Lulie,F,,,1
Lulita,F,0,,,,,
Luljeta,F,0,,,,,
Lulla,F,1,Lulla,F,,,1
Lulu,F,0,Lulu,F,59,Yes,1
Lulubell,F,1,Lulubell,F,,,1
Lulubelle,F,1,Lulubelle,F,,,1
Lulwah,F,0,,,,,
Luly,F,1,Luly,F,,,1
Lulya,F,1,Lulya,F,,,1
Lulyana,F,0,,,,,
Lum,M,1,Lum,M,,,1
Luma,F,1,Luma,F,10,No,1
Luman,M,1,Luman,M,,,1
Lumas,M,1,Lumas,M,,,1
Lumen,F,0.955696203,Lumen,F,42,No,0.9556962025316456
Lumi,F,0,Lumi,F,11,No,1
Lumin,F,1,Lumin,F,,,1
Lumina,F,1,Lumina,F,14,No,1
Lumir,M,1,Lumir,M,,,1
Lummie,F,0.652542373,Lummie,F,,,0.652542372881356
Lumumba,M,1,Lumumba,M,,,1
Lumusi,F,0,,,,,
Lun,F,1,Lun,F,10,No,1
Luna,F,0,Luna,F,2790,Yes,0.9984784446322907
Luna,M,,,,5,No,
Luna-rae,F,0,,,,,
Lunabella,F,1,Lunabella,F,,,1
Lunabelle,F,1,Lunabelle,F,5,No,1
Lunah,F,1,Lunah,F,6,No,1
Lunamarie,F,1,Lunamarie,F,,,1
Lunarae,F,1,Lunarae,F,6,No,1
Lunasha,F,0,,,,,
Lunda,F,1,Lunda,F,,,1
Lunden,F,0.581272085,Lunden,F,5,No,0.5812720848056537
Lunden,M,,,,6,No,
Lundin,F,1,Lundin,F,,,1
Lundon,F,0.707831325,Lundon,F,7,No,0.7078313253012049
Lundy,F,,,,6,No,
Lundy,M,0.952238806,Lundy,M,,,0.9522388059701492
Lundyn,F,0.991891892,Lundyn,F,44,No,0.9918918918918919
Lundynn,F,1,Lundynn,F,10,No,1
Luned,F,0,,,,,
Lunell,F,1,Lunell,F,,,1
Lunelle,F,1,Lunelle,F,,,1
Lunete,F,0,,,,,
Lunetta,F,1,Lunetta,F,7,No,1
Lunette,F,1,Lunette,F,,,1
Lung,M,1,Lung,M,,,1
Lungile,F,0,,,,,
Lunie,F,1,Lunie,F,,,1
Luningning,F,0,,,,,
Luniva,F,1,Luniva,F,5,No,1
Lunna,F,1,Lunna,F,15,No,1
Lunnie,M,0.592592593,Lunnie,M,,,0.5925925925925926
Lunsford,M,1,Lunsford,M,,,1
Luo,F,0,,,,,
Luola,F,1,Luola,F,,,1
Luong,M,1,Luong,M,,,1
Lupe,F,0,Lupe,F,8,No,0.756038942523117
Lupie,F,1,Lupie,F,,,1
Lupita,F,0,Lupita,F,86,Yes,1
Lupus,M,0,,,,,
Luqa,M,1,,,,,
Luqmaan,M,1,Luqmaan,M,5,No,1
Luqman,M,1,Luqman,M,42,No,1
Lura,F,0.999471682,Lura,F,8,No,0.9994716821639898
Lurae,F,1,Lurae,F,,,1
Lurah,F,1,Lurah,F,,,1
Luraine,F,1,Luraine,F,,,1
Lural,M,1,Lural,M,,,1
Lurana,F,1,Lurana,F,,,1
Luray,F,1,Luray,F,,,1
Lurdes,F,0,Lurdes,F,,,1
Lurean,F,1,Lurean,F,,,1
Lureatha,F,1,Lureatha,F,,,1
Luree,F,1,Luree,F,,,1
Lureen,F,1,Lureen,F,,,1
Luren,F,0.5,Luren,F,,,0.5
Lurena,F,1,Lurena,F,,,1
Lurenda,F,1,Lurenda,F,,,1
Lurene,F,1,Lurene,F,,,1
Lureta,F,1,Lureta,F,,,1
Luretha,F,1,Luretha,F,,,1
Luretta,F,1,Luretta,F,,,1
Lurette,F,0,,,,,
Luria,F,1,Luria,F,,,1
Lurie,F,0.869918699,Lurie,F,,,0.8699186991869918
Lurinda,F,1,Lurinda,F,,,1
Lurine,F,1,Lurine,F,,,1
Lurla,F,1,Lurla,F,,,1
Lurlean,F,1,Lurlean,F,,,1
Lurlee,F,1,Lurlee,F,,,1
Lurleen,F,1,Lurleen,F,,,1
Lurlene,F,1,Lurlene,F,,,1
Lurley,F,1,Lurley,F,,,1
Lurlie,F,1,Lurlie,F,,,1
Lurline,F,1,Lurline,F,,,1
Lurlyne,F,1,Lurlyne,F,,,1
Lurton,M,1,Lurton,M,,,1
Lus,F,1,Lus,F,,,1
Lusa,F,0,,,,,
Lusana,F,1,Lusana,F,,,1
Luscious,F,1,Luscious,F,,,1
Luseane,F,1,Luseane,F,,,1
Luserito,F,1,Luserito,F,,,1
Lusero,F,1,Lusero,F,,,1
Lusetta,F,1,Lusetta,F,,,1
Lusha,F,1,Lusha,F,,,1
Lushana,F,1,Lushana,F,,,1
Lushawn,F,1,Lushawn,F,,,1
Lushi,F,0,,,,,
Lushonda,F,1,Lushonda,F,,,1
Lushus,F,1,Lushus,F,,,1
Lusi,F,1,Lusi,F,5,No,1
Lusia,F,1,Lusia,F,,,1
Lusiana,F,1,Lusiana,F,,,1
Lusiano,M,1,Lusiano,M,,,1
Lusila,F,1,Lusila,F,,,1
Lusine,F,0,Lusine,F,,,1
Lusineh,F,0,,,,,
Lusio,M,1,Lusio,M,,,1
Lust,F,0,,,,,
Luster,M,0.98938992,Luster,M,,,0.9893899204244032
Lusvin,M,1,Lusvin,M,,,1
Luta,F,1,Luta,F,,,1
Lutalo,M,1,Lutalo,M,,,1
Lutanda,M,1,,,,,
Lute,M,1,Lute,M,,,1
Lutece,F,1,Lutece,F,,,1
Lutfi,M,0,,,,,
Lutfiya,F,0,,,,,
Lutfiyah,F,0,,,,,
Lutgard,F,0,,,,,
Lutgardis,F,0,,,,,
Lutha,F,1,Lutha,F,,,1
Luthais,M,1,,,,,
Luthando,M,1,,,,,
Luther,M,0,Luther,M,99,Yes,0.9934336649206756
Luthera,F,1,Luthera,F,,,1
Luthien,F,1,Luthien,F,6,No,1
